review_score,translated_message
4,Positive Review
5,Positive Review
5,Positive Review
5,I received well before the deadline.
5,Congratulations Lannister Stores I loved buying the internet safe and practical congratulations to all happy Easter
1,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
4,Efficient apparatus. On the site the brand of the device is printed as 3Desinfector and when it arrives with another name ... Update with the correct brand since it is the same device
5,Positive Review
5,Positive Review
4,"But a little, crashing ... for the value is good."
4,Positive Review
3,Neutral Review
5,"Reliable seller, product OK and delivery before the deadline."
2,"I would like to know what happened, I always received and this purchase now decpated me"
5,Positive Review
3,Neutral Review
1,Bad
4,Positive Review
5,Positive Review
5,NOTE 10 STORE
5,Positive Review
5,Thanks for the attentive amim dismissed
5,Positive Review
4,Positive Review
5,"The purchase was made easily.
The delivery was made long before the deadline.
The product has already started to be used and even the present,
no problem."
5,Very beautiful and cheap clock.
1,I didn't like it! I bought cat for hare
5,Positive Review
5,Positive Review
1,"Always buy over the internet and delivery occurs before the agreed deadline, which I believe is the maximum deadline. In Stark the maximum deadline has already been sold out and has not received the product."
5,Positive Review
4,"I received exactly what I expected. The other orders from other sellers delayed, but it arrived on time."
5,Positive Review
5,"Recommend,"
5,very good
5,"I'm completely in love, super responsible and reliable store!"
1,No order to arrive.
2,Negative Review
1,Negative Review
5,Positive Review
5,Very good. very smelly.
5,Positive Review
4,Positive Review
5,Positive Review
5,"Great seller arrived before the deadline, I loved the product"
5,Positive Review
5,Quiet and efficient purchase process.
5,I hope it lasts because it is from the hair.
1,"I received only 1 control Midea Split style.
Missed Remote Control for Air Conditioning Consul"
5,Positive Review
5,Positive Review
5,Positive Review
5,good
3,Neutral Review
3,Neutral Review
4,Positive Review
5,Mt beautiful
5,Positive Review
5,"Everything occurred as contracted being the delivery performed before the deadline 
 I am satisfied"
5,"I loved I found it beautiful, very delicate I loved it"
5,Positive Review
4,"Great partnership store: very fast, well packaged and quality products! Only the cost of freight that was kind of sour."
5,Positive Review
5,Positive Review
5,I recommend the seller ...
1,"The product did not arrive within the stipulated time and caused inconvenience, because I scheduled my son's vacation trip, based on time. I live in Bahia and he in Cuiabá alone. Now the house is empty."
5,"Product delivered as requested, and very briefly. Congratulations!"
3,Neutral Review
5,Positive Review
4,Positive Review
3,I bought two units and only received one and now what do I do?
5,Positive Review
3,"Good product, but what came to me does not match the photo of the ad."
1,"Much lower product, poorly finished."
5,Positive Review
4,Positive Review
5,The Kit Cane Patrol Backpack is beautiful !! My grandson will love !! Thanks!!
5,Wonder
5,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
